,points_x,points_y,celltypes,phenotypes
0,0.0,0.0,Stroma,
1,0.0,0.653136,Stroma,
2,0.0,1.23945,Stroma,
3,0.0,2.43521,Stroma,
4,0.0,3.03454,Stroma,
5,0.0,3.63307,Stroma,
6,0.0,4.23665,Stroma,
7,0.0,4.84422,Stroma,
8,0.0,5.44922,Stroma,
9,0.0,6.06002,Stroma,
10,0.0,6.6694,Stroma,
11,0.0,7.9035,Stroma,
12,0.0,8.52535,Stroma,
13,0.0,9.14939,Stroma,
14,0.74559,9.91809,Stroma,
15,0.0,10.4053,Stroma,
16,0.0,11.6421,Stroma,
17,0.0,12.2522,Stroma,
18,0.0,12.8759,Stroma,
19,0.0,13.4961,Stroma,
20,0.0,14.1195,Stroma,
21,0.0,14.7318,Stroma,
22,0.0,15.3503,Stroma,
23,0.783125,16.397,Stroma,
24,0.0,17.1791,Stroma,
25,0.0,17.7642,Stroma,
26,0.0,18.364,Stroma,
27,0.0,18.9811,Stroma,
28,0.0,19.56,Stroma,
29,0.0,20.1696,Stroma,
30,0.0,20.7575,Stroma,
31,0.0,21.3251,Stroma,
32,0.0,21.9238,Stroma,
33,0.76852,22.8824,Stroma,
34,0.0,23.085,Stroma,
35,0.0,24.2713,Stroma,
36,0.0,24.8473,Stroma,
37,0.0,25.427,Stroma,
38,0.0,26.0339,Stroma,
39,0.870879,26.4041,Stroma,
40,0.0,27.2493,Stroma,
41,0.0,28.5401,Stroma,
42,0.0,29.1776,Stroma,
43,0.0,29.8669,Stroma,
44,0.0,30.5785,Stroma,
45,0.0,31.3039,Stroma,
46,4.47008,32.4587,Stroma,
47,0.0,32.6834,Stroma,
48,0.0,33.9868,Stroma,
49,0.0,34.6615,Stroma,
50,0.0,35.3629,Stroma,
51,0.0,36.0344,Stroma,
52,0.0,36.7032,Stroma,
53,0.0,37.384,Stroma,
54,1.45572,36.3729,Stroma,
55,0.0,38.7152,Stroma,
56,0.0,39.3418,Stroma,
57,0.0,39.9992,Stroma,
58,0.0,40.7028,Stroma,
59,0.0,41.3883,Stroma,
60,0.0,42.0643,Stroma,
61,0.67219,34.0326,Stroma,
62,0.767459,42.677,Stroma,
63,0.0,45.4215,Stroma,
64,2.69505,43.2605,Stroma,
65,3.02803,33.5768,Stroma,
66,0.688208,28.0523,Stroma,
67,0.674452,0.0,Stroma,
68,0.80909,0.733814,Stroma,
69,0.799061,1.36672,Stroma,
70,0.783197,1.9899,Stroma,
71,0.788337,2.59912,Stroma,
72,0.806068,3.2049,Stroma,
73,0.795153,3.80114,Stroma,
74,0.783794,4.41315,Stroma,
75,0.78449,5.61865,Stroma,
76,0.79795,6.22457,Stroma,
77,0.790163,6.82648,Stroma,
78,0.777424,7.4391,Stroma,
79,0.775186,8.05743,Stroma,
80,0.763002,8.68104,Stroma,
81,1.53788,8.78596,Stroma,
82,0.75857,10.5757,Stroma,
83,1.23677,11.592,Stroma,
84,0.727471,11.9925,Stroma,
85,0.728334,12.6481,Stroma,
86,0.767465,13.296,Stroma,
87,0.756156,13.9236,Stroma,
88,0.75727,15.1415,Stroma,
89,0.748199,15.7925,Stroma,
90,1.6534,16.2307,Stroma,
91,1.54735,17.4393,Stroma,
92,0.836705,17.5701,Stroma,
93,0.756395,18.1378,Stroma,
94,0.700753,18.8016,Stroma,
95,0.912428,19.3444,Stroma,
96,0.704805,19.8759,Stroma,
97,0.763982,20.5056,Stroma,
98,0.861429,21.0546,Stroma,
99,0.690438,21.6304,Stroma,
100,0.736215,22.2653,Stroma,
101,1.3686,22.7352,Stroma,
102,0.713304,23.4802,Stroma,
103,0.706168,24.1512,Stroma,
104,0.858617,24.6891,Stroma,
105,0.72798,25.2404,Stroma,
106,0.731511,25.8577,Stroma,
107,0.675552,26.9187,Stroma,
108,0.779308,27.4699,Stroma,
109,1.53244,28.083,Stroma,
110,1.4233,29.6679,Stroma,
111,1.45084,30.3801,Stroma,
112,3.80294,32.2791,Stroma,
113,7.22587,34.8675,Stroma,
114,4.15255,31.6459,Stroma,
115,1.34057,34.0076,Stroma,
116,4.28415,33.2156,Stroma,
117,4.93643,34.761,Stroma,
118,2.89172,34.3087,Stroma,
119,5.33222,33.5018,Stroma,
120,1.52411,34.7159,Stroma,
121,1.41549,35.6504,Stroma,
122,2.07772,36.5351,Stroma,
123,2.22301,37.8657,Stroma,
124,1.40759,39.2629,Stroma,
125,1.55403,40.0129,Stroma,
126,3.31488,38.5303,Stroma,
127,5.81219,32.8797,Stroma,
128,1.69196,40.643,Stroma,
129,3.64952,33.9127,Stroma,
130,1.56389,37.1774,Stroma,
131,1.57933,31.8474,Stroma,
132,1.22107,49.1966,Stroma,
133,2.89721,50.0,Stroma,
134,1.28451,0.0,Stroma,
135,1.5474,0.79201,Stroma,
136,1.55142,1.52322,Stroma,
137,1.577,2.16742,Stroma,
138,1.57723,2.78029,Stroma,
139,1.62644,3.37891,Stroma,
140,1.56417,3.98305,Stroma,
141,1.59047,4.57963,Stroma,
142,1.59046,5.18216,Stroma,
143,1.5749,5.77879,Stroma,
144,1.60428,6.37807,Stroma,
145,1.57284,6.97206,Stroma,
146,1.55442,7.58042,Stroma,
147,1.55174,8.18637,Stroma,
148,1.53468,9.39502,Stroma,
149,1.567,9.98243,Stroma,
150,1.42847,10.5489,Stroma,
151,1.39359,12.4935,Stroma,
152,1.4971,13.1539,Stroma,
153,1.51797,13.7779,Stroma,
154,1.55803,14.3968,Stroma,
155,1.51551,15.008,Stroma,
156,1.39683,15.6811,Stroma,
157,1.54568,16.7873,Stroma,
158,1.7274,17.9989,Stroma,
159,1.3647,18.4777,Stroma,
160,2.97707,21.8507,Stroma,
161,1.64282,19.0419,Stroma,
162,1.61245,19.655,Stroma,
163,3.11557,20.3926,Stroma,
164,3.23802,19.7447,Stroma,
165,1.41854,20.2368,Stroma,
166,1.53978,21.3001,Stroma,
167,1.33874,21.9065,Stroma,
168,1.67114,23.2611,Stroma,
169,1.30755,23.745,Stroma,
170,1.55449,24.3322,Stroma,
171,1.53553,24.9713,Stroma,
172,1.40197,25.5966,Stroma,
173,1.47374,26.642,Stroma,
174,1.35488,27.4186,Stroma,
175,2.10024,29.3367,Stroma,
176,2.89943,30.776,Stroma,
177,2.26819,30.5214,Stroma,
178,2.294,31.7255,Stroma,
179,2.25285,33.7109,Stroma,
180,4.35891,33.8293,Stroma,
181,3.0006,32.4927,Stroma,
182,7.50621,33.4535,Stroma,
183,8.01816,34.8492,Stroma,
184,2.89123,35.427,Stroma,
185,2.51828,34.8886,Stroma,
186,2.16338,35.7705,Stroma,
187,3.04973,37.8722,Stroma,
188,2.54857,38.4636,Stroma,
189,2.14865,39.5829,Stroma,
190,1.42623,41.2777,Stroma,
191,2.14981,38.9217,Stroma,
192,2.4096,42.2573,Stroma,
193,0.694232,29.3445,Stroma,
194,5.334,44.726,Stroma,
195,1.47706,28.9462,Stroma,
196,1.29432,48.3488,Stroma,
197,2.19767,41.4968,Stroma,
198,4.73113,44.4273,Stroma,
199,1.80721,49.1871,Stroma,
200,4.0203,50.0,Stroma,
201,1.88404,0.0,Stroma,
202,2.21588,0.800649,Stroma,
203,2.27253,1.52569,Stroma,
204,2.3449,2.23771,Stroma,
205,2.35017,2.86116,Stroma,
206,2.36962,3.55732,Stroma,
207,2.38177,4.1513,Stroma,
208,2.37592,4.75022,Stroma,
209,2.38796,5.35629,Stroma,
210,2.36862,5.94777,Stroma,
211,2.42018,6.55194,Stroma,
212,2.34376,7.12764,Stroma,
213,2.33026,7.74115,Stroma,
214,2.33807,8.34982,Stroma,
215,2.29361,8.96092,Stroma,
216,2.34484,9.55429,Stroma,
217,2.29695,10.1629,Stroma,
218,1.67073,11.1048,Stroma,
219,1.81254,12.0426,Stroma,
220,2.17036,13.1647,Stroma,
