,points_x,points_y,celltypes,phenotypes
0,1.57965,1.62707,Stroma,
1,0.0,3.75415,Stroma,
2,0.0,4.8196,Stroma,
3,0.0,5.3577,Stroma,
4,0.0,5.88409,Stroma,
5,0.0,6.9751,Stroma,
6,0.0,7.51748,Stroma,
7,0.0,8.07355,Stroma,
8,0.0,9.16797,Stroma,
9,0.0,9.71541,Stroma,
10,0.0,10.2623,Stroma,
11,0.0,10.8137,Stroma,
12,0.0,11.3673,Stroma,
13,0.0,11.9206,Stroma,
14,0.0,12.4833,Stroma,
15,0.0,13.0425,Stroma,
16,0.0,14.1633,Stroma,
17,0.0,14.7265,Stroma,
18,0.0,15.2911,Stroma,
19,0.0,15.8519,Stroma,
20,0.0,16.4098,Stroma,
21,0.0,16.98,Stroma,
22,0.0,17.5559,Stroma,
23,0.0,18.1373,Stroma,
24,0.0,18.7353,Stroma,
25,0.0,19.9076,Stroma,
26,0.0,20.5008,Stroma,
27,0.0,21.0966,Stroma,
28,0.0,21.6926,Stroma,
29,0.0,22.2863,Stroma,
30,0.0,22.8842,Stroma,
31,0.0,23.4802,Stroma,
32,0.0,24.6773,Stroma,
33,0.0,25.2638,Stroma,
34,0.0,25.8793,Stroma,
35,0.0,26.4582,Stroma,
36,0.0,27.0704,Stroma,
37,0.0,28.2617,Stroma,
38,0.784436,28.6154,Stroma,
39,0.0,29.4671,Stroma,
40,0.0,30.054,Stroma,
41,0.0,30.6594,Stroma,
42,0.0,31.2466,Stroma,
43,0.0,31.831,Stroma,
44,0.0,32.4238,Stroma,
45,0.0,33.5957,Stroma,
46,0.0,34.1802,Stroma,
47,0.0,34.7621,Stroma,
48,0.0,35.8866,Stroma,
49,0.0,36.4538,Stroma,
50,0.0,37.0242,Stroma,
51,0.0,37.5937,Stroma,
52,0.0,38.1643,Stroma,
53,0.0,38.7328,Stroma,
54,0.0,39.2946,Stroma,
55,0.0,39.8614,Stroma,
56,0.0,40.9807,Stroma,
57,0.0,41.544,Stroma,
58,0.0,42.105,Stroma,
59,0.804829,43.75,Stroma,
60,0.0,43.2263,Stroma,
61,0.0,43.7897,Stroma,
62,0.0,44.3556,Stroma,
63,0.0,44.9096,Stroma,
64,0.0,45.4671,Stroma,
65,0.0,46.0319,Stroma,
66,2.40267,48.3626,Stroma,
67,2.48329,0.0,Stroma,
68,1.59145,0.823281,Stroma,
69,0.803015,3.30405,Stroma,
70,0.844049,3.96305,Stroma,
71,0.803818,4.6239,Stroma,
72,0.801222,5.25829,Stroma,
73,0.829576,5.88487,Stroma,
74,0.796508,6.49662,Stroma,
75,0.841563,7.13883,Stroma,
76,0.787097,7.76553,Stroma,
77,0.859129,8.38069,Stroma,
78,0.773216,9.01792,Stroma,
79,0.810591,9.6877,Stroma,
80,0.805972,10.3643,Stroma,
81,0.797098,11.0779,Stroma,
82,0.792437,11.7998,Stroma,
83,0.80805,12.506,Stroma,
84,0.828959,13.187,Stroma,
85,0.83041,13.8406,Stroma,
86,0.81563,14.4911,Stroma,
87,0.807847,15.1482,Stroma,
88,0.820412,15.7819,Stroma,
89,0.803386,16.3968,Stroma,
90,0.832544,17.0438,Stroma,
91,1.53514,17.8444,Stroma,
92,0.880462,18.914,Stroma,
93,0.81749,19.5111,Stroma,
94,0.819851,20.1231,Stroma,
95,0.812243,21.3454,Stroma,
96,0.823759,21.9525,Stroma,
97,0.808024,22.5571,Stroma,
98,0.815352,23.1685,Stroma,
99,0.819208,23.771,Stroma,
100,0.798305,24.3835,Stroma,
101,0.762578,25.5765,Stroma,
102,0.768309,26.7538,Stroma,
103,0.806071,27.4194,Stroma,
104,0.841494,27.9994,Stroma,
105,0.809705,29.2368,Stroma,
106,0.860282,29.8168,Stroma,
107,0.784011,30.4216,Stroma,
108,0.860869,31.0257,Stroma,
109,0.857279,31.6113,Stroma,
110,0.809443,32.2183,Stroma,
111,0.824961,32.8353,Stroma,
112,0.836714,33.4433,Stroma,
113,0.804447,34.7061,Stroma,
114,0.832244,35.3233,Stroma,
115,0.819251,35.9403,Stroma,
116,0.815185,36.5721,Stroma,
117,0.824768,37.21,Stroma,
118,0.829983,37.8636,Stroma,
119,0.85095,38.5125,Stroma,
120,0.871206,39.1534,Stroma,
121,0.816929,39.7917,Stroma,
122,0.820334,40.4364,Stroma,
123,0.839519,41.7441,Stroma,
124,0.842216,42.4093,Stroma,
125,0.847874,43.075,Stroma,
126,0.853788,44.4161,Stroma,
127,0.872013,45.0507,Stroma,
128,0.834448,45.7023,Stroma,
129,1.65304,45.934,Stroma,
130,1.63093,46.594,Stroma,
131,1.67987,47.2377,Stroma,
132,0.836755,47.0231,Stroma,
133,2.74147,50.0,Stroma,
134,3.08013,0.0,Stroma,
135,2.27763,0.80963,Stroma,
136,1.58436,2.4186,Stroma,
137,1.58846,3.2229,Stroma,
138,1.59607,3.99916,Stroma,
139,1.60149,4.70831,Stroma,
140,1.57902,5.37988,Stroma,
141,1.66591,6.02518,Stroma,
142,1.57657,6.65027,Stroma,
143,1.59582,7.3556,Stroma,
144,1.61804,8.00676,Stroma,
145,1.58827,8.76281,Stroma,
146,1.53357,9.53239,Stroma,
147,1.54887,10.3519,Stroma,
148,1.56083,11.0832,Stroma,
149,1.5749,11.7607,Stroma,
150,1.59395,12.4207,Stroma,
151,1.65503,13.6917,Stroma,
152,1.62714,14.3197,Stroma,
153,1.60683,14.9544,Stroma,
154,1.61805,15.621,Stroma,
155,1.65011,16.2412,Stroma,
156,1.58214,16.9169,Stroma,
157,2.06355,17.3863,Stroma,
158,1.68428,18.4688,Stroma,
159,1.69436,19.0897,Stroma,
160,1.63777,19.7045,Stroma,
161,1.62074,20.3362,Stroma,
162,1.62137,20.9694,Stroma,
163,1.62817,21.5939,Stroma,
164,1.6341,22.2255,Stroma,
165,1.60921,22.8526,Stroma,
166,1.60621,24.1221,Stroma,
167,0.858974,24.9806,Stroma,
168,1.62766,26.0573,Stroma,
169,2.03547,26.6226,Stroma,
170,1.46753,27.0012,Stroma,
171,1.5556,28.2079,Stroma,
172,1.55281,28.9023,Stroma,
173,1.61815,30.0969,Stroma,
174,1.63282,30.7256,Stroma,
175,1.75033,31.3288,Stroma,
176,1.65041,31.9326,Stroma,
177,1.61949,32.5742,Stroma,
178,1.66888,33.2082,Stroma,
179,1.64333,33.8367,Stroma,
180,1.65777,35.133,Stroma,
181,1.65015,35.7683,Stroma,
182,1.61323,36.4297,Stroma,
183,1.63919,37.1059,Stroma,
184,1.62903,37.7846,Stroma,
185,1.68229,38.5013,Stroma,
186,1.70291,39.2596,Stroma,
187,1.61136,40.0401,Stroma,
188,1.62452,40.8269,Stroma,
189,1.63372,41.6051,Stroma,
190,1.65213,42.3899,Stroma,
191,1.64528,43.1841,Stroma,
192,1.6093,43.9259,Stroma,
193,1.76478,44.6077,Stroma,
194,1.67969,45.2696,Stroma,
195,2.44457,46.0449,Stroma,
196,3.22421,46.0492,Stroma,
197,2.45854,46.791,Stroma,
198,3.98195,48.3471,Stroma,
199,6.36541,46.3207,Stroma,
200,3.37389,50.0,Stroma,
201,3.69542,0.0,Stroma,
202,2.96846,0.805805,Stroma,
203,2.27695,1.60124,Stroma,
204,2.27949,2.39803,Stroma,
205,2.30498,3.18222,Stroma,
206,2.30384,3.96842,Stroma,
207,2.33338,4.76684,Stroma,
208,2.3389,5.54775,Stroma,
209,2.35867,6.4008,Stroma,
210,2.24116,7.16851,Stroma,
211,2.2945,8.06581,Stroma,
212,2.34079,8.80592,Stroma,
213,2.23513,9.52093,Stroma,
214,2.24302,10.2234,Stroma,
215,2.34739,10.8698,Stroma,
216,2.36381,11.4873,Stroma,
217,2.39532,12.1056,Stroma,
218,1.63622,13.0705,Stroma,
219,2.46738,13.9687,Stroma,
220,2.42858,14.5896,Stroma,
221,2.34625,15.2601,Stroma,
222,2.53834,15.8284,Stroma,
223,2.37131,16.4588,Stroma,
224,2.71183,17.0105,Stroma,
225,2.45736,17.9911,Stroma,
226,2.52391,18.6212,Stroma,
227,2.51229,19.2535,Stroma,
228,2.41257,20.5222,Stroma,
229,2.43892,21.152,Stroma,
230,2.43084,21.7786,Stroma,
231,2.43988,22.4114,Stroma,
232,2.407,23.0355,Stroma,
233,1.63757,23.4905,Stroma,
234,1.65109,24.7581,Stroma,
235,1.6301,25.4042,Stroma,
236,2.58904,26.2214,Stroma,
237,2.42236,27.2173,Stroma,
238,1.73597,27.6169,Stroma,
239,2.22938,28.5294,Stroma,
240,1.72256,29.4848,Stroma,
241,2.40797,30.352,Stroma,
242,2.5405,30.9727,Stroma,
243,2.58668,31.5825,Stroma,
244,2.42521,32.1864,Stroma,
245,2.45526,32.8262,Stroma,
246,2.50565,33.4481,Stroma,
247,1.59171,34.4833,Stroma,
248,2.52309,35.3426,Stroma,
249,2.43543,35.9565,Stroma,
250,2.41194,36.6209,Stroma,
251,2.474,37.2676,Stroma,
252,2.50695,38.6087,Stroma,
253,2.58851,39.2592,Stroma,
254,2.38528,39.9873,Stroma,
